A&A	Astronomy and Astrophysics
EJSE	European Journal of Science Education
EJSM	e-Journal of Soft Materials
EJSta	Electronic Journal of Statistics
EJTP	Electronic Journal of Theoretical Physics
EL	EPL (Europhysics Letters)
EM&P	Earth Moon and Planets
EMBO	The EMBO Journal
EMCT	EMC Technology
EML	Electronic Materials Letters
EMPS	Electric Machines and Power Systems
ENews	Europhysics News
EOAST	Earth-Oriented Applications and Space Technology
EOS	EOS
EOSD	Electro Optical Systems Design
EOSTr	EOS Transactions
EObsC	Einstein Observatory Catalog of IPC X-ray Sources
EP&S	Earth, Planets and Space
EPJA	European Physical Journal A
EPJAM	EPJ Applied Metamaterials
EPJAP	European Physical Journal Applied Physics
EPJAS	European Physical Journal A Supplement
EPJB	European Physical Journal B
EPJC	European Physical Journal C
EPJCS	European Physical Journal C Supplement
EPJD	European Physical Journal D
EPJE	European Physical Journal E
EPJH	European Physical Journal H
EPJNS	EPJ Nuclear Sciences &amp; Technologies
EPJP	European Physical Journal Plus
EPJPv	EPJ Photovoltaics
EPJQT	EPJ Quantum Technology
EPJST	European Physical Journal Special Topics
EPJWC	European Physical Journal Web of Conferences
EPRIJ	EPRI Journal
EPSC	European Planetary Science Congress
ER	Environmental Research
ERCli	Environmental Research: Climate
ERCom	Environmental Research Communications
ERExp	Engineering Research Express
ERH	Environmental Research: Health
ERIS	Environmental Research: Infrastructure and Sustainability
ERL	Environmental Research Letters
ERST	Europe Report Science Technology
ESABu	ESA Bulletin
ESAHR	ESA History Study Reports
ESAJ	ESA Journal
ESASM	ESA Scientific & Technical Memoranda
ESASP	ESA Special Publication
ESASR	ESA Scientific Report
ESAST	ESA Scientific Technical Review
ESATM	ESA Training Manual
ESC	ACS Earth and Space Chemistry
ESD	Earth System Dynamics
ESDD	Earth System Dynamics Discussion
ESE	Earth Systems and Environment
ESF	Earth Science Frontiers
ESIL	Eruptive Stars Information Letter
ESN	European Science Notes
ESOB	European Southern Observatory ESO Bulletin
ESOC	European Southern Observatory Conference and Workshop Proceedings
ESOSP	European Southern Observatory Scientific Preprints
ESOSR	European Southern Observatory Scientific Report
ESPL	Earth Surface Processes and Landforms
ESPM	European Solar Physics Meeting
ESRv	Earth Science Reviews
ESS	AAS/Division for Extreme Solar Systems Abstracts
ESSD	Earth System Science Data
ESSDD	Earth System Science Data Discussions
ESSFR	IEICE ESS Fundamentals Review
EScIn	Earth Science Informatics
ESuD	Earth Surface Dynamics
ESuDD	Earth Surface Dynamics Discussions
ETATF	Eesti NSV Teaduste Akadeemia Toimetised Fuusika Matemaatika
ETDS	Ergodic Theory and Dynamical Systems
ETRE	Elektrosviaz Telecommunications Radio Engineering Telecommunications
ETTRT	European Transactions Telecommunications Related Technologies
ETWQ	Environmental Toxicology and Water Quality
EUCAS	EUCASS Proceedings Series
EURPE	EUREKA: Physics and Engineering
EVest	Elektrotehniski Vestnik
EXOSA	EXOSAT Express
EaEvS	Earth and Evolution Sciences
EaFut	Earth's Future
EaInt	Earth Interactions
EaRA	Earthquake Research Advances
EaSci	Earthquake Science
EartD	eEarth Discussions
Earth	eEarth
EcGH	Eclogae geologae Helvetii
EcGou	Ecole de Goutelas
EcSJ	Journal of the Electrochemical Society
EdPJ	The Edinburgh Philosophical Journal
ElBah	Elektrische Bahnen
ElL	Electronics Letters
ElLC	Electrotechnical Laboratory Circulars
ElMod	Elektronnoe Modelirovanie
ElP	Electronics Power
ElPro	Electronic Progress
ElTA	Elektronnaia Tekhnika Avtomatike
ElUn	El Universo
ElW	Electrowaerme International
Elast	Elastic
EleSt	Electronic Structure
Elecm	Electromagnetics
Elek	Elektronika
Elem	Elektromekhanika
Eleme	Elements
EnAt	Energia es Atomtechnika
EnC	Energy Conversion
EnEng	Environmental Engineering
EnFM	Engineering Fracture Mechanics
EnGeo	Environmental Geology
EnMAd	Energy Material Adances
EnMan	Environmental Management
EnOp	Engineering Optimization
EnS	Energy Sources
EnST	Environmental Science and Technology
EnSci	Engineering and Science
EnTR	Energy Technology Review
EnTox	Environmental Toxicology
EnUK	Energy
Endvr	Endeavour
EneG	Energy Geoscience
Energ	Energetika
EngAn	Engineering Analysis
EngCo	Engineering Computations
EngGe	Engineering Geology
EngSt	Engineering Structures
EntIS	Enterprise Information Systems
Entro	Entropie
Entrp	Entropy
ErNW	Ergebnisse der exakten Naturwissenschaften
Ergo	Ergonomics
EssPh	Essays in Physics
EuRv	European Review
EurSS	Eurasian Soil Science
ExA	Experimental Astronomy
ExFl	Experiments in Fluids
ExG	Exploration Geophysics
ExHT	Experimental Heat Transfer
ExM	Experimental Mechanics
ExT	Experimental Techniques
ExTFS	Experimental Thermal Fluid Science
Extr	Extraction
F&CRe	Flower and Cook Observatory Reprints
F&I	Forschung im Ingenieurwesen
F&IER	Forschung im Ingenieurwesen Engineering Research
F&M	Feinwerktechnik und Messtechnik
FAAp	Functional Analysis and Its Applications
FACM	Functiones et Approximatio Commentarii Mathematici
FBP	Food and Bioproducts Processing. Part C, Transactions of the Institution of Chemical Engineers
FBS	Few-Body Systems
FCPh	Fundamentals of Cosmic Physics
FCS	Functional Composites and Structures
FFEMS	Fatigue and Fracture of Engineering Materials and Structures
FInfo	Fundamenta Informaticae
FMEC	Frontiers of Mechanical Engineering in China
FML	Functional Materials Letters
FNCN	Fullerene Nanotubes and Carbon Nanostructures
FNL	Fluctuation and Noise Letters
FPhL	Foundations of Physics Letters
FRFI	Flug Revue Flugwelt International
FST	Fullerene Science and Technology
FSTJ	Fujitsu Scientific Technical Journal
FTC	Flow, Turbulence and Combustion
FTP	Fundamental Theories of Physics
FaDi	Faraday Discussions
FaTr	Faraday Transactions
Fer	Ferroelectrics
FerLS	Ferroelectrics Letters Section
FiBr	First Break
FiIO	Fiber and Integrated Optics
FiMek	Fizicheskaia Mekhanika
FiMos	Akademiia Nauk SSSR Otdelenie Obshchei Fiziki i Astronomii Nauchnaia Sessiia Moscow USSR Uspekhi Fizicheskikh Nauk
FiSSR	Akademiia Nauk Tadzhikskoi SSR Fiziko Tekhnicheskii Institut Dyushambe Tadzhik SSR Akademiia Nauk Tadzhikskoi SSR Doklady
FiUkr	Akademiia Nauk Ukrain skoi RSR Dopovidi Seriia Fiziko Matematichni ta Tekhnichni Nauki
Fiz	Fizika
FizA	Fizika A
FizAO	Akademiia Nauk SSSR Fizika Atmosfery i Okeana
FizAS	Fizika Aerodispersnykh Sistem
FizB	Fizika B
FizCh	Fizyki i Chemii Seria Fizyka
FizEl	Fizicheskaia Elektronika
FizGV	Fizika Goreniia i Vzryva
FizKM	Fiziko Khimicheskaia Mekhanika Materialov
FizKO	Fizika i Khimiia Obrabotki Materialov
FizMM	Fizika Metallov i Metallovedenie
FizMS	Fizika Mnogochastichnykh Sistem
FizNT	Fizika Nizkikh Temperatur
FizPl	Fizika Plazmy
FizSz	Fizika Sz.
FizTT	Fizika Tverdogo Tela
FizTV	Fizika i Tekhnika Vysokikh Davlenii
FizZS	Fizika Zhidkogo Sostoianiia
FlDy	Fluid Dynamics
FlDyR	Fluid Dynamics Research
FlDyT	Fluid Dynamics Transactions
FlMSR	Fluid Mechanics Soviet Research
FluQ	Fluids Quarterly
Fluid	Fluidika
FoGeo	Fotointerpretacja w Geografii
FoPh	Foundations of Physics
FoPhL	Foundations of Physics Letters
ForPW	Fortschritte der Physikalischen Wissenschaften
ForPh	Fortschritte der Physik
FrASS	Frontiers in Astronomy and Space Sciences
FrCh	Frontiers in Chemistry
FrES	Frontiers of Earth Science
FrEaS	Frontiers in Earth Science
FrInJ	Journal of The Franklin Institute
FrME	Frontiers of Mechanical Engineering
FrMS	Frontiers of Materials Science
FrMat	Frontiers in Materials
FrP	Frontiers in Physics
FrPhC	Frontiers of Physics in China
FrPhy	Frontiers of Physics
FrST	Frontiers in Space Technologies
Fract	Fractals
Freq	Frequenz
FuST	Fusion Science and Technology
FuTec	Fusion Technology
Fut	Futures
Futur	Future Spring
G&G	Geodesy and Geodynamics
GAM	Geophysics and Astrophysics Monographs
GATAN	Gesellschaft Aerosolforschung Tagung ueber Aerosole Naturwissenschaft Medizin und Technik Messtechnik und technische Anwendung
GAe	Geomagnetizm i Aeronomiia
GApFD	Geophysical and Astrophysical Fluid Dynamics
GAst	Giornale di Astronomia
GBioC	Global Biogeochemical Cycles
GBzG	Gerlands Beitraege zur Geophysik
GCBio	Global Change Biology
GCN	GRB Coordinates Network
GCN1	GRB Coordinates Network
GCN2	GRB Coordinates Network
GCNR	GCN Report
GCNew	Galactic Center Newsletter
GCRV	Carnegie Institute Washington D.C. Publication
GCarp	Geologica Carpathica
GChP	Geochemical Perspectives
GChPL	Geochemical Perspectives Letters
GDS	Geophysical Developments Series
GEB	Games and Economic Behavior
GECJR	GEC Journal Research
GEE	Geomatics and Environmental Engineering
GEOCA	GEOS Circular on Small-Amplitude Variables
GEOCE	GEOS Circular on Eclipsing Binaries
GEOCR	GEOS Circular on RR Lyr Type Variables
GEOCS	GEOS Semi-Regular Variables
GEOSN	GEOS Note Circulaire
GGG	Geochemistry, Geophysics, Geosystems
GGMM	Greenhouse Gas Measurement & Management
GGMit	Gauss-Gesellschaft e.V. G&ouml;ttingen, Mitteilungen
GI	Geoscientific Instrumentation, Methods and Data Systems
GID	Geoscientific Instrumentation, Methods and Data Systems Discussions
GIPol	Geoinformatica Polonica
GKA	Geodeziia i Kartografiia Aehrofotosemka, L'vov
GMD	Geoscientific Model Development
GMDD	Geoscientific Model Development Discussions
GMIP	Graphical Models and Image Processing
GML	Geo-Marine Letters
GMMWJ	Gesellschaft angewandte Mathematik und Mechanik Jahrestagung Goettingen West Germany Zeitschrift Flugwissenschaften
GMS	Geophysical Monograph Series
GMuD	Gesellschaft Mathematik und Datenverarbeitung mbH Multigrid Methods Special Topics Applications
GNR	Geography and Natural Resources
GOAM	Greenwich Observations in Astronomy, Magnetism and Meteorology made at the Royal Observatory, Series 3
GOAMM	Greenwich Observations in Astronomy, Magnetism and Meteorology made at the Royal Observatory, Series 2
GORO	Greenwich Observations made at the Royal Observatory
GPC	Global and Planetary Change
GPSW	GPS World
GReGr	General Relativity and Gravitation
GSAB	Geological Society of America Bulletin
GSAMm	Geological Society of America Memoir
GSASP	Geological Society of America Special Papers
GSDJ	Geoscience Data Journal
GSEng	GeoScience Engineering
GSL	Geoscience Letters
GSLSP	Geological Society of London Special Publications
GSR	Gravitational and Space Research
GTES	Geothermal Energy Science
GTPZ	Gigiena Truda i Professionalnye Zabolevaniia
GUL	Geschichte und Lichtwechsel der Veraenderlichen Sterne (Potsdam)
GVMK	Gibridnye Vychislitelnye Mashiny i Kompleksy
GaMuM	Gesellschaft Angewandte Mathematik und Mechanik Workshop Paris France
Gaea	Gaea - Journal of Geoscience
GalEl	Galilean Electrodynamics
Galax	Galaxies
GazA	Gazette Astronomique
GazAM	Gazette Astronomique Memoires
GazT	Gazodinamika i Teploobmen
Ge&Ae	Geomagnetism and Aeronomy
GeAer	Geodeziia i Aerofotos
GeCAS	Geochimica et Cosmochimica Acta Supplement
GeCar	Geodesy and Cartography
GeChr	Geochronology
GeCoA	Geochimica et Cosmochimica Acta
GeGe	Geophysica et Geodaetica
GeIss	Geoinformation Issues
GeKaA	Geodeziia Kartografiia i Aerofotos
GeKar	Geodeziia i Kartografiia
Gelio	Geliotekhnika
Gemin	GEMINI Newsletter Royal Greenwich Observatory
Gen	Genetica
Gen1K	Observatoire de Geneve
Geo	Geology
GeoAc	Geodinamica Acta
GeoD	Geometriae Dedicata
GeoEx	Geoexploration
GeoFr	Geoscience Frontiers
GeoGl	Geodetski Glasnik
GeoIn	Geocarto International
GeoIs	Geomagnitnye Issledovaniia
GeoJ	Geophysical Journal
GeoJI	Geophysical Journal International
GeoK	Geodezja i Kartografia
GeoM	Geological Magazine
GeoNr	Geophysica Norvegica
GeoOD	Geology of Ore Deposits
GeoPA	Geofisica Pura e Applicata
GeoRJ	GeoResJ
GeoRL	Geophysical Research Letters
GeoRu	Geologische Rundschau
GeoRv	Geographical Review
GeoSJ	Geological Society Journal
GeoSb	Geofizicheskii Sbornik
GeoSu	Geophysical Surveys
GeoZh	Geofizicheskii Zhurnal
Geobi	G&eacute;obios
GeocI	Geochemistry International
GeocJ	Geochemical Journal
Geoch	Geochemistry
GeodR	Geoderma Regional
Geode	Geoderma
GeofI	Geofisica Internacional
Geokh	Geokhimiia
Geolg	Geologos
Geolo	Geologija
GeomJ	Geomicrobiology Journal
Geoma	Geomatik
Geomo	Geomorphology
Geop	Geophysics
GeopP	Geophysical Prospecting
Geoph	Geophysica
GeosR	Geoscience Records
Geosc	Geosciences
Geosp	Geosphere
Geot	Geotimes
Geote	Geotectonics
Geoth	Geothermics
Gerb	Gerbertvs, International Academic Publication on History of Medieval Science
GescJ	Geosciences Journal
GiGi	Gidroprivod i Gidropnevmoavtomatika
GiSan	Gigiena i Sanitariia
Gidro	Gidromekhanika
GlMaJ	Glasgow Mathematical Journal
GloT	Global Transitions
GloTP	Global Transitions Proceedings
GondR	Gondwana Research
GrAeH	Grumman Aerospace Horizons
GrCo	Gravitation and Cosmology
GrTOn	Gravitatsiia i Teoriia Otnositelnosti
GriO	Griffith Observer
Grund	Grundwasser
GsGe	Geosystems and Geoenvironment
GtGm	Geotextiles and Geomembranes
HAAG	Handbook of Astronomy Astrophysics and Geophysics
HAD	AAS/Historical Astronomy Division
HARSB	Histoire de l'Academie Royale des Sciences et des Belles-Lettres de Berlin
HCHy	Hovering Craft and Hydrofoil
HDA	Handbuch der Astrophysik
HDP	Handbuch der Physik
HDSTS	Herald of Dagestan State Technical University Technical Sciences
HEAD	AAS/High Energy Astrophysics Division
HECh	High Energy Chemistry
HEDP	High Energy Density Physics
HEPNP	High Energy Physics and Nuclear Physics
HESS	Hydrology and Earth System Sciences
HESSD	Hydrology and Earth System Sciences Discussions
HFC	Hydrogen and Fuel Cells
HGSS	History of Geo- and Space Sciences
HGT	Human Gene Therapy
HJHTM	HTM Journal of Heat Treatment and Materials
HMR	Helgoland Marine Research
HMT	Heat and Mass Transfer
HPCRE	Handbook on the Physics and Chemistry of Rare Earths
HPP	High Performance Polymers
HPR	High Pressure Research
HRL	Hydrological Research Letters
HTHP	High Temperatures and High Pressures
HTJR	Heat Transfer Japanese Research
HTMP	High Temperature Materials and Processes
HTSR	Heat Transfer Soviet Research
HTemS	High Temperature Science
HTrEn	Heat Transfer Engineering
HUFEB	Hokkaido University Faculty Engineering Bulletin
HUFEM	Hokkaido University Faculty Engineering Memoirs
HWM	Helgol&auml;nder Wissenschaftliche Meeresuntersuchungen
HWP	Horizons in World Physics
HadJ	Hadronic Journal
HadJS	Hadronic Journal Supplement
HamS	Hamburger Sternwarte Sonderdrucke
HarAC	Harvard College Observatory Announcement Card
HarAR	Harvard College Observatory Annual Report
HarCi	Harvard College Observatory Circular
HarMo	Harvard Observatory Monographs
HarOR	Report of the Committee of the Overseers of Harvard College appointed to visit the Observatory
HarRe	Harvard College Observatory Reprints
HarZi	Harthaer Beobachtungs-Zirkular
HeaPh	Health Physics
Heavn	Heavens
HelOB	Helwan Institute of Astronomy and Geophysics Bulletins
HelR	Observatory and Astrophysics Laboratory University of Helsinki Report
HelRe	Heliogeophysical Research
Helio	Helios
Heliy	Heliyon
HemD	Hemel en Dampkring
HiA	Highlights of Astronomy
HiTec	High Technology
HisSc	History of Science
Holoc	The Holocene
Holz	Holzforschung
HvOBS	Hvar Observatory Bulletin Supplement
HvaOB	Hvar Observatory Bulletin
HyBio	Hydrobiologia
HyInt	Hyperfine Interactions
HyPr	Hydrological Processes
HydJ	Hydrogeology Journal
HydMe	Hydrometallurgy
IA&A	Ingenieria Aeronautica y Astronautica
IAEMS	IEEE Aerospace and Electronic Systems
IAESM	IEEE Aerospace Electronic Systems Magazine
IAFET	Instituto de Astronomia y Fisica del Espacio Buenos Aires
IAIss	Istoriko-Astronomicheskie Issledovaniya
IAL1K	Institut d'Astronomie de Lausanne
IAM	International Applied Mechanics
IANT	International Advances in Nondestructive Testing
IAOIT	Informo of the Astronomia-Optika Institucio, Universitato de Turku
IAPM	IEEE Antennas and Propagation Magazine
IAPPP	International Amateur-Professional Photoelectric Photometry Communications
IASSP	IEEE ASSP Magazine
IAUC	International Astronomical Union Circular
IAUCB	IAU Commission on Close Binary Stars
IAUCo	IAU Colloquia
IAUDS	IAU Commission on Double Stars
IAUFM	IAU Focus Meeting
IAUGA	IAU General Assembly
IAUIB	IAU Information Bulletin
IAUIn	IAU Commission on Instruments
IAUJD	IAU Joint Discussion
IAUS	IAU Symposium
IAUSS	IAU Special Session
IAUTA	Transactions of the International Astronomical Union, Series A
IAUTB	Transactions of the International Astronomical Union, Series B
IAWPL	IEEE Antennas and Wireless Propagation Letters
IBCP	An International Journal at the Interface Between Chemistry and Physics
IBMJ	IBM Journal of Research and Development
IBSAE	Sovetskaia Antarkticheskaia Ekspeditsiia Informatsionnyi Byulleten
IBSH	Informational Bulletin of the Southern Hemisphere
IBUAA	Informational Bulletin of the Ukrainian Astronomical Association
IBVS	Information Bulletin on Variable Stars
ICAE	Integrated Computer-Aided Engineering
ICAOB	ICAO Bulletin
ICD	IEEE Circuits &amp; Devices
ICGA	IEEE Computer Graphics Applications
ICHIN	Newsletters of the Interdivisional Commission on History of the IAGA
ICHMT	International Communications in Heat and Mass Transfer
ICML	International Conference on Machine Learning
ICQ	International Comet Quarterly
ICRC	International Cosmic Ray Conference
ICSE	Impact of Computing in Science and Engineering
ICSEn	IEEE Computational Science and Engineering
ICSM	IEEE Computer Systems Magazine
ICTP	International Center for Theoretical Physics
ICiSM	IEEE Circuits Systems Magazine
IComM	IEEE Communications Magazine
IDAQP	Infinite Dimensional Analysis, Quantum Probability and Related Topics
IDTC	IEEE Design Test Computers
IEDL	IEEE Electron Device Letters
IEEEN	IEEE Network
IEEEP	IEEE Proceedings
IEEES	IEEE Spectrum
IEEP	Institution of Electrical Engineers Proceedings
IEERv	IEE Reviews
IEITC	IEICE Transactions on Communications
IEITE	IEICE Transactions on Electronics
IEITF	IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences
IEITI	IEICE Transactions on Information and Systems
IER	Internationale Elektronische Rundschau
IEREJ	Institution of Electronic Radio Engineers Journal
IESJ	IES Journal
IET	Instruments and Experimental Techniques
IETE	Institution of Electronics Telecommunication Engineers
IEWS	Stevenage Herts England Peter Peregrinus Ltd IEE Electromagnetic Waves Series
IExp	IEEE Expert
IFB	Interfaces and Free Boundaries
IFBel	Akademiia Nauk Belorusskoi SSR Institut Fiziki Nauchnaia Sessiia Minsk Belorussian SSR Zhurnal Prikladnoi Spektroskopii
IGAFS	Issledovaniia Geomagnetizmu Aeronomii i Fizike Solntsa
IGRSL	IEEE Geoscience and Remote Sensing Letters
IGRv	International Geology Review
IGS	Orlando FL Academic Press Inc International Geophysics Series
IHERv	Ishikawajima Harima Engineering Review
IHWN	IHW Newsletter
IIApN	Indian Institute of Astrophysics Newsletter
IINA	Istituto Italiano di Navigazione Atti
IISys	IEEE Intelligent Systems
IJA	International Journal of Astronomy
IJAA	International Journal of Astronomy and Astrophysics
IJACS	International Journal of Adaptive Control and Signal Processing
IJAEM	International Journal of Analytical and Experimental Modal Analysis
IJAEO	International Journal of Applied Earth Observation and Geoinformation
IJAIS	International Journal of Applied Information Systems
IJAM	International Journal of Applied Mechanics
IJAME	International Journal of Applied Mechanics and Engineering
IJAP	IOSR Journal of Applied Physics
IJART	International Journal of Advancements in Research &amp; Technology
IJASE	International Journal of Advanced Structural Engineering
IJASS	International Journal of Aeronautical and Space Sciences
IJAdA	International Journal of Adhesion Adhesives
IJApE	International Journal of Applied Electromagnetics and Mechanics
IJAsB	International Journal of Astrobiology
IJBB	International Journal of Bioclimatology Biometeorology
IJBC	International Journal of Bifurcation and Chaos
IJBm	International Journal of Biometeorology
IJC	International Journal of Control
IJCA	International Journal of Computer Applications
IJCAT	International Journal of Computer Applications and Technology
IJCEM	International Journal for Computational Methods in Engineering Science and Mechanics
IJCFD	International Journal of Computational Fluid Dynamics
IJCG	International Journal of Coal Geology
IJCMB	International Journal of Computer Mathematics Section B
IJCMS	International Journal of Computational Materials Science and Engineering
IJCV	International Journal of Computer Vision
IJCli	International Journal of Climatology
IJDE	International Journal of Digital Earth
IJDM	International Journal of Damage Mechanics
IJDRR	International Journal of Disaster Risk Reduction
IJE	International Journal of Electronics
IJEEP	International Journal of Emerging Electric Power Systems
IJEFM	International Journal of Engineering and Fluid Mechanics Spring
IJEG	International Journal of Engineering and Geosciences
IJER	International Journal of Energy Research
IJERA	International Journal of Enginnering Research and Applications
IJES	International Journal of Engineering Science
IJESS	IEEE Journal on Exploratory Solid-State Computational Devices and Circuits
IJEST	IEEE Journal on Emerging and Selected Topics in Circuits and Systems
IJEaS	International Journal of Earth Sciences
IJEnR	International Journal of Environmental Research
IJExM	International Journal of Extreme Manufacturing
IJFD	International Journal of Fluid Dynamics
IJFE	International Journal of Fusion Energy
IJFa	International Journal of Fatigue
IJFr	International Journal of Fracture
IJG	International Journal of Geosciences
IJGA	International Journal of Geomagnetism and Aeronomy
IJGGC	International Journal of Greenhouse Gas Control
IJGI	ISPRS International Journal of Geo-Information
IJGMM	International Journal of Geometric Methods in Modern Physics
IJGNP	International Journal of Green Nanotechnology Physics and Chemistry
IJGP	International Journal of Geoheritage and Parks
IJGS	International Journal of General Systems
IJGeo	International Journal of Geophysics
IJHE	International Journal of Hydrogen Energy
IJHFF	International Journal of Heat and Fluid Flow
IJHM	International Journal of Hybrid Microelectronics Fall
IJHMT	International Journal of Heat and Mass Transfer
IJHSC	International Journal of High Speed Computing
IJHSE	International Journal of High Speed Electronics and Systems
IJHy	International Journal of Hyperthermia
IJIDF	International Journal of Image and Data Fusion
IJIE	International Journal of Impact Engineering
IJIMW	International Journal of Infrared and Millimeter Waves
IJIST	International Journal of Imaging Systems Technology
IJM	International Journal of Mathematics
IJMES	International Journal of Mathematical Education in Science and Technology
IJMF	International Journal of Multiphase Flow
IJMHG	Indian Journal of Meteorology Hydrology and Geophysics
IJMIP	International Journal of Mass Spectrometry and Ion Physics
IJMM	International Journal of Mini Microcomputers
IJMMC	IEEE Journal on Multiscale and Multiphysics Computational Techniques
IJMMD	International Journal of Mechanics and Materials in Design
IJMMM	International Journal of Minerals, Metallurgy, and Materials
IJMP	International Journal of Mineral Processing
IJMPA	International Journal of Modern Physics A
IJMPB	International Journal of Modern Physics B
IJMPC	International Journal of Modern Physics C
IJMPD	International Journal of Modern Physics D
IJMPE	International Journal of Modern Physics E
IJMPS	International Journal of Modern Physics Conference Series
IJMQE	International Journal of Metrology and Quality Engineering
IJMR	International Journal of Materials Research
IJMS	International Journal of Mechanical Sciences
IJMSE	International Journal of Mars Science and Exploration
IJMSI	International Journal of Mass Spectrometry and Ion Processes
IJMST	International Journal of Mining Science and Technology
IJMSp	International Journal of Mass Spectrometry
IJMW	International Journal of Mine Water
IJMeS	International Journal Of Mechanical Sciences
IJMoS	International Journal of Modelling and Simulation
IJN	International Journal of Nanoscience
IJNA	IMA Journal of Numerical Analysis
IJNAM	International Journal for Numerical and Analytical Methods in Geomechanics
IJNAO	International Journal of Naval Architecture and Ocean Engineering
IJNLM	International Journal of Non Linear Mechanics
IJNME	International Journal for Numerical Methods in Engineering
IJNMF	International Journal for Numerical Methods in Fluids
IJNMH	International Journal of Numerical Methods for Heat & Fluid Flow
IJNS	International Journal of Neural Systems
IJNT	International Journal of Nanotechnology
IJNar	The International Journal of Nautical Archaeology
IJO	International Journal of Optomechatronics
IJOE	IEEE Journal of Oceanic Engineering
IJOMS	International Journal of Oral and Maxillofacial Surgery
IJOpt	International Journal of Optics
IJP	International Journal of Plasticity
IJPAM	Indian Journal of Pure and Applied Mathematics
IJPAP	Indian Journal of Pure and Applied Physics
IJPM	International Journal of Polymeric Materials
IJPR	International Journal of Production Research
IJPRS	International Journal of Photogrammetry and Remote Sensing
IJQC	International Journal of Quantum Chemistry
IJQE	IEEE Journal of Quantum Electronics
IJQI	International Journal of Quantum Information
IJRA	IEEE Journal of Robotics Automation
IJRAI	International Journal of Radiation Applications and Instrumentation D Nuclear Tracks and Radiation Measurements
IJRB	International Journal of Radiation Biology
IJRFI	IEEE Journal of Radio Frequency Identification
IJRMM	International Journal of Rock Mechanics and Mining Sciences
IJRPC	International Journal for Radiation Physics and Chemistry
IJRR	International Journal of Robotics Research
IJRS	International Journal of Remote Sensing
IJRSP	Indian Journal of Radio and Space Physics
IJSAC	IEEE Journal on Selected Areas in Communications
IJSC	International Journal of Satellite Communications
IJSDE	International Journal of Soil Dynamics and Earthquake Engineering
IJSE	International Journal of Solar Energy
IJSEd	International Journal of Science Education
IJSMD	International Journal for Simulation and Multidisciplinary Design Optimization
IJSME	International Journal of Science and Mathematics Education
IJSNM	International Journal of Smart and Nano Materials
IJSR	International Journal of Sediment Research
IJSS	International Journal of Solids and Structures
IJSSC	IEEE Journal of Solid-State Circuits
IJSSc	International Journal of Systems Science
IJSTA	IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
IJSTQ	IEEE Journal of Selected Topics in Quantum Electronics
IJScA	International Journal of Supercomputer Applications
IJSyS	International Journal of Systems Science
IJT	International Journal of Thermophysics
IJTFM	IEEJ Transactions on Fundamentals and Materials
IJTIA	IEEJ Transactions on Industry Applications
IJTJE	International Journal of Turbo and Jet Engines
IJTP	International Journal of Theoretical Physics
IJTPE	IEEJ Transactions on Power and Energy
IJTSM	IEEJ Transactions on Sensors and Micromachines
ILCSM	IEEE LCS Magazine
ILOMP	Publications of the International Latitude Observatory at Mizusawa
ILSJ	International Lunar Society Journal
ILTS	IEEE LTS
IMA	Institute for Mathematics and Its Applications
IMEPA	IME Proceedings. Part A: Journal of Power and Energy
IMEPB	IME Proceedings. Part B: Journal of Engineering Manufacture
IMEPC	IME Proceedings. Part C: Journal of Mechanical Engineering Science
IMEPD	IME Proceedings. Part D: Journal of Automobile Engineering
IMEPE	IME Proceedings. Part E: Journal of Process Mechanical Engineering
IMEPG	IME Proceedings. Part G: Journal of Aerospace Engineering
IMEPH	IME Proceedings. Part H: Journal of Engineering in Medicine
IMEPI	IME Proceedings. Part I: Journal of Systems and Control Engineering
IMEPK	IME Proceedings. Part K: Journal of Multibody Dynamics
IMGWL	IEEE Microwave and Guided Wave Letters
IMMag	IEEE Microwave Magazine
IMPA	Interscience Monographs in Physics and Astronomy
IMRv	International Materials Reviews
IMeRv	International Metals Reviews
INASR	INASAN Science Reports
INGN	The Newsletter of the Isaac Newton Group of Telescopes
INL	International Nano Letters
INSAP	Indian National Science Academy Proceedings Supplement
INTMK	Itogi Nauki i Tekhniki Seriia Meteorologiia i Klimatologiia
INTSA	Itogi Nauki i Tekhniki Seriia Astronomiia
INTSF	Itogi Nauki i Tekhniki Seriia Fizika Plazmy
INTSI	Itogi Nauki i Tekhniki Seriia Issledovanie Kosmicheskogo Prostranstva
INTSO	Itogi Nauki i Tekhniki Seriia Okeanologiia
INTSR	Itogi Nauki i Tekhniki Seriia Radiotekhnika
INTSS	Itogi Nauki i Tekhniki Seriia Sovremennye Problemy Matematiki
INTSV	Itogi Nauki i Tekhniki Seriia Vozdushnyi Transport
IOPSN	IOP SciNotes
IORAS	Anuario publicado pelo Imperial Observatorio do Rio de Janeiro Suplemento
IPAUC	INTERKOSMOS Prague Astronomicky Ustav Ceskoslovenske Akademie Ved
IPBS	Isotopes in the Physical and Biomedical Sciences
IPCDT	IEE Proceedings E: Computers and Digital Techniques
IPCI	IEEE Press Series on Computational Intelligence
IPCRS	IEE Proceedings F: Communications Radar and Signal Processing
IPCSV	IEE Proceedings: Communications Speech and Vision
IPCTA	IEE Proceedings D: Control Theory Applications
IPDMC	IEEE Press Series on Digital &amp; Mobile Communication
IPECS	Iee Proceedings-circuits Devices And Systems
